"SampleSize","LinkFunction","MeanVarStructure","RealWorkingCorr","SpecifiedWorkingCorr","BetaHatRMSE"
80,"log","Poisson","ar1","ar1",0.549306144334107
80,"log","Gamma","independence","independence",0.602275254445324
80,"log","Gamma","independence","exchangeable",0.528829840644657
80,"log","Gamma","independence","ar1",0.627556578978309
80,"log","Gamma","exchangeable","independence",1.1536424232935
80,"log","Gamma","exchangeable","exchangeable",1.16012023956727
80,"log","Gamma","exchangeable","ar1",0.643303483080128
80,"log","Gamma","ar1","independence",0.573216114184064
80,"log","Gamma","ar1","exchangeable",0.587904995936436
80,"log","Gamma","ar1","ar1",0.561191364474017
80,"identity","Poisson","independence","independence",14.7516967678306
80,"identity","Poisson","independence","exchangeable",23.3400086012476
80,"identity","Poisson","independence","ar1",15.836469920602
80,"identity","Poisson","exchangeable","independence",22.4706750716399
80,"identity","Poisson","exchangeable","exchangeable",29.7802661599029
80,"identity","Poisson","exchangeable","ar1",21.0211968508536
80,"identity","Poisson","ar1","independence",17.5478592672251
80,"identity","Poisson","ar1","exchangeable",19.429923912987
80,"identity","Poisson","ar1","ar1",15.3924666278687
80,"identity","Gamma","independence","independence",53.0384851952467
80,"identity","Gamma","independence","exchangeable",57.3115176106501
80,"identity","Gamma","independence","ar1",38.9280677250334
80,"identity","Gamma","exchangeable","independence",107.240187190197
80,"identity","Gamma","exchangeable","exchangeable",111.237642714849
80,"identity","Gamma","exchangeable","ar1",53.3009533596815
80,"identity","Gamma","ar1","independence",54.1969085537547
80,"identity","Gamma","ar1","exchangeable",46.8097004716835
80,"identity","Gamma","ar1","ar1",42.6202448655368
160,"log","Poisson","independence","independence",0.549306144334097
160,"log","Poisson","independence","exchangeable",0.549306144334001
160,"log","Poisson","independence","ar1",0.549306144334127
160,"log","Poisson","exchangeable","independence",0.549306144334025
160,"log","Poisson","exchangeable","exchangeable",0.549306144334033
160,"log","Poisson","exchangeable","ar1",0.54930614433404
160,"log","Poisson","ar1","independence",0.549306144334049
160,"log","Poisson","ar1","exchangeable",0.54930614433407
160,"log","Poisson","ar1","ar1",0.549306144334033
160,"log","Gamma","independence","independence",0.427547495080221
160,"log","Gamma","independence","exchangeable",0.368942320725961
160,"log","Gamma","independence","ar1",0.347203817407024
160,"log","Gamma","exchangeable","independence",0.599549692102624
160,"log","Gamma","exchangeable","exchangeable",0.584937952341704
160,"log","Gamma","exchangeable","ar1",0.552027437605526
160,"log","Gamma","ar1","independence",0.197371233656374
160,"log","Gamma","ar1","exchangeable",0.372039241578763
160,"log","Gamma","ar1","ar1",0.356069292091632
160,"identity","Poisson","independence","independence",15.7291761232296
160,"identity","Poisson","independence","exchangeable",12.9810076123542
160,"identity","Poisson","independence","ar1",14.50565165432
160,"identity","Poisson","exchangeable","independence",17.1216444670994
160,"identity","Poisson","exchangeable","exchangeable",23.4692172832977
160,"identity","Poisson","exchangeable","ar1",20.9338845368944
160,"identity","Poisson","ar1","independence",12.653691668884
160,"identity","Poisson","ar1","exchangeable",11.5694778397927
160,"identity","Poisson","ar1","ar1",9.04951169908067
160,"identity","Gamma","independence","independence",28.5528506952843
160,"identity","Gamma","independence","exchangeable",29.2946844193076
160,"identity","Gamma","independence","ar1",29.2475317515683
160,"identity","Gamma","exchangeable","independence",54.4032988549937
160,"identity","Gamma","exchangeable","exchangeable",39.5142493660803
160,"identity","Gamma","exchangeable","ar1",36.3358544758444
160,"identity","Gamma","ar1","independence",29.4112095431056
160,"identity","Gamma","ar1","exchangeable",38.8242285085953
160,"identity","Gamma","ar1","ar1",32.7281518861927
320,"log","Poisson","independence","independence",0.549306144334081
320,"log","Poisson","independence","exchangeable",0.549306144334065
320,"log","Poisson","independence","ar1",0.549306144334056
320,"log","Poisson","exchangeable","independence",0.549306144334076
320,"log","Poisson","exchangeable","exchangeable",0.549306144334039
320,"log","Poisson","exchangeable","ar1",0.54930614433404
320,"log","Poisson","ar1","independence",0.549306144334042
320,"log","Poisson","ar1","exchangeable",0.54930614433405
320,"log","Poisson","ar1","ar1",0.549306144333961
320,"log","Gamma","independence","independence",0.241373528273402
320,"log","Gamma","independence","exchangeable",0.191641146152055
320,"log","Gamma","independence","ar1",0.186035993865327
320,"log","Gamma","exchangeable","independence",0.318015065809893
320,"log","Gamma","exchangeable","exchangeable",0.390295329296102
320,"log","Gamma","exchangeable","ar1",0.453369288740555
320,"log","Gamma","ar1","independence",0.217813662124622
320,"log","Gamma","ar1","exchangeable",0.348198960615418
320,"log","Gamma","ar1","ar1",0.312901775839061
320,"identity","Poisson","independence","independence",12.5281574317087
320,"identity","Poisson","independence","exchangeable",13.0171294780909
320,"identity","Poisson","independence","ar1",10.7926570118961
320,"identity","Poisson","exchangeable","independence",14.0193644494876
320,"identity","Poisson","exchangeable","exchangeable",15.6290891400153
320,"identity","Poisson","exchangeable","ar1",16.6313573943379
320,"identity","Poisson","ar1","independence",13.0147625444999
320,"identity","Poisson","ar1","exchangeable",10.219892374835
320,"identity","Poisson","ar1","ar1",11.7175665595612
320,"identity","Gamma","independence","independence",26.4367866076494
320,"identity","Gamma","independence","exchangeable",28.1039896846801
320,"identity","Gamma","independence","ar1",22.9972258247227
320,"identity","Gamma","exchangeable","independence",17.8590260547299
320,"identity","Gamma","exchangeable","exchangeable",31.0459958530342
320,"identity","Gamma","exchangeable","ar1",43.106524774186
320,"identity","Gamma","ar1","independence",18.7003543416505
320,"identity","Gamma","ar1","exchangeable",29.1498051483574
320,"identity","Gamma","ar1","ar1",20.6949342057994
